Paese,Data,ID_Ordine,Sku,Quantita,Categoria,Ambito,Titolo,Prezzo_unitario,Prezzo_tot,Mese
France,2025-09-07 20:34:46,1000725,C58YWEA,1,Laptops,Home,PC Portable HP 17-cp3022nf,679.0,679.0,Settembre
France,2025-09-08 06:25:19,1000702,A0ZB2EA,1,Desktops,Business,HP Elite 800 G9  SFF,1435.39,1435.39,Settembre
France,2025-09-08 08:23:51,1000597,B72R9EA,2,Desktops,Home,Tout en un HP OmniStudio X 32-c1005nf,1499.0,2998.0,Settembre
France,2025-09-08 19:38:32,1000583,C67J4ET,1,Desktops,Business,HP Z2 SFF G1i Workstation,2038.14,2038.14,Settembre
France,2025-09-08 21:11:43,1000728,BG7J4EA,1,Laptops,Home,PC Portable IA 2 en 1 HP OmniBook X Flip 14-fm0004nf - Écran tactile OLED 120 Hz,1299.0,1299.0,Settembre
France,2025-09-08 21:39:30,1000719,B6YX5ET,2,Desktops,Business,Ordinateur de bureau HP ProDesk 2 G1i E Format tour,939.46,1878.92,Settembre
France,2025-09-08 22:32:20,1000638,B0CG8UT,1,Monitors,Business,Écran FHD HP Series 3 Pro 27 pouces – 327ph,227.52,227.52,Settembre
France,2025-09-08 22:32:20,1000638,169L0AA,1,Monitors,Business,Écran de conférence FHD HP E24mv G4,375.6,375.6,Settembre
France,2025-09-09 08:02:37,1000742,AP4C8EA,9,Laptops,Home,HP Chromebook 14a-nf0001nf,499.0,4491.0,Settembre
France,2025-09-09 09:46:58,1000670,A26W9EA,1,Laptops,Business,"PC Portable Professionnel HP EliteBook 845 G11 14"" Extension de garantie 3 ans incluse & 1 an de Wolf Pro Security Edition",1264.54,1264.54,Settembre
France,2025-09-09 15:53:24,1000649,BK7F2EA,1,Laptops,Home,PC Portable IA HP OmniBook 7 14-fr0000nf,1399.0,1399.0,Settembre
France,2025-09-10 00:22:19,1000699,5N014EA,1,Desktops,Business,HP EliteDesk 8 Mini G1i Desktop AI PC  Wolf Pro Security Edition,1060.42,1060.42,Settembre
France,2025-09-10 07:45:54,1000692,BE6V7EA,1,Laptops,Home,PC Portable Gaming OMEN MAX 16-ak0008nf - NVIDIA® GeForce RTX™ 5070 Ti,2549.0,2549.0,Settembre
France,2025-09-10 08:08:58,1000720,A23KQEA,1,Laptops,Business,"PC Portable Professionnel HP ProBook 465 G11 16"" - Extension de garantie 3 ans incluse",981.12,981.12,Settembre
France,2025-09-10 08:49:40,1000584,B6YW8ET,1,Desktops,Business,Ordinateur de bureau HP ProDesk 2 G1i E Faible encombrement,799.94,799.94,Settembre
France,2025-09-10 09:31:55,1000625,A23GTEA,1,Laptops,Business,"PC Portable Professionnel HP ProBook 460 G11 16"" - Garantie 3 ans incluse",1047.74,1047.74,Settembre
France,2025-09-10 10:58:01,1000727,B6YX6ET,2,Desktops,Business,Ordinateur de bureau HP ProDesk 2 G1i E Format tour,860.66,1721.32,Settembre
France,2025-09-10 10:58:01,1000727,B6SL8EA,2,Desktops,Home,PC de Bureau HP OmniDesk M02-0098nf,749.0,1498.0,Settembre
France,2025-09-10 10:58:01,1000727,B68T9EA,2,Laptops,Business,HP EliteBook X G1a 14 inch Notebook Next Gen AI PC Wolf Pro Security Edition,1820.62,3641.24,Settembre
France,2025-09-10 21:36:01,1000740,A27CDEA,2,Laptops,Business,PC portable IA nouvelle génération HP EliteBook 6 G1a 14 pouces HP Wolf Pro Security Edition,1357.78,2715.56,Settembre
France,2025-09-11 02:56:42,1000617,B68SMEA,1,Laptops,Business,"PC Portable Professionnel IA HP EliteBook X G1i 14"" - Extension de garantie 3 ans incluse",2398.54,2398.54,Settembre
France,2025-09-11 09:25:02,1000659,CM8W0EA,1,Desktops,Home,OMEN MAX 45L Gaming DT GT23-0001nf PC,3799.0,3799.0,Settembre
France,2025-09-11 10:59:06,1000605,B6SL6EA,1,Desktops,Home,PC fixe M02HP OmniDesk -0018nf,899.0,899.0,Settembre
France,2025-09-11 13:49:23,1000668,8T1W9EA,1,Desktops,Business,HP Z2 Mini G9 - NVIDIA® T1000,1952.33,1952.33,Settembre
France,2025-09-11 22:01:15,1000718,A27CDEA,1,Laptops,Business,PC portable IA nouvelle génération HP EliteBook 6 G1a 14 pouces HP Wolf Pro Security Edition,1357.78,1357.78,Settembre
France,2025-09-12 00:31:11,1000589,2D9J9AA,1,Monitors,Home,"Écran Full HD HP M22f (21.5"") FHD; IPS",79.99,79.99,Settembre
France,2025-09-12 03:26:50,1000747,BP4R8EA,1,Laptops,Home,PC Portable Gaming OMEN 16-am0053nf - NVIDIA GeForce RTX 5060,1349.0,1349.0,Settembre
France,2025-09-12 03:26:50,1000747,B68T6EA,1,Laptops,Business,PC portable IA nouvelle génération HP EliteBook X G1i 14 pouces HP Wolf Pro Security Edition,2250.7,2250.7,Settembre
France,2025-09-12 03:26:50,1000747,BG7J4EA,1,Laptops,Home,PC Portable IA 2 en 1 HP OmniBook X Flip 14-fm0004nf - Écran tactile OLED 120 Hz,1299.0,1299.0,Settembre
France,2025-09-12 03:26:50,1000747,A27CKEA,1,Laptops,Business,HP EliteBook 6 G1i 13 inch Notebook AI PC Wolf Pro Security Edition,1248.91,1248.91,Settembre
France,2025-09-12 19:11:38,1000744,A0ZF4EA,1,Desktops,Business,HP EliteStudio 8 All-in-One G1i 27 inch Desktop AI PC  Wolf Pro Security Edition,1653.11,1653.11,Settembre
France,2025-09-12 19:11:38,1000744,C79N5ET,1,Laptops,Business,Station de travail mobile HP ZBook X G1i 16 pouces,2502.71,2502.71,Settembre
France,2025-09-12 19:11:38,1000744,A10MWEA,1,Desktops,Business,HP ProDesk 4 Mini G1i Desktop AI PC,1161.08,1161.08,Settembre
France,2025-09-12 20:03:26,1000592,AV4C1AA,1,Monitors,Home,Écran gamer incurvé WQHD 180 Hz OMEN 34 pouces – OMEN 34c G2,319.99,319.99,Settembre
France,2025-09-12 23:03:52,1000675,9X8K3EA,1,Laptops,Home,PC Portable 2 en 1 HP Envy x360 14-fc0004nf  - Écran tactile OLED,1399.0,1399.0,Settembre
France,2025-09-13 05:38:55,1000616,B68TCEA,1,Laptops,Business,PC portable IA nouvelle génération HP EliteBook X Flip G1i 14 pouces HP Wolf Pro Security Edition,2554.48,2554.48,Settembre
France,2025-09-13 11:46:07,1000671,C65JBAT,1,Laptops,Business,"Ordinateur portable HP 250R 15,6 pouces G9",892.42,892.42,Settembre
France,2025-09-13 11:46:07,1000671,C59B2EA,1,Laptops,Home,PC Portable HP OmniBook 5 16-ba1001nf,749.0,749.0,Settembre
France,2025-09-13 11:46:07,1000671,B6SL4EA,1,Desktops,Home,PC de Bureau Tout en Un IA Nouvelle Génération OmniStudio X 27-cs1007nf,1199.0,1199.0,Settembre
France,2025-09-13 11:46:07,1000671,BM1P5EA,1,Laptops,Home,PC Portable Gaming Victus 15-fb3010nf - NVIDIA® GeForce RTX™ 5050,1249.0,1249.0,Settembre
France,2025-09-13 12:39:26,1000749,6N4E2AA,13,Monitors,Business,"Écran FHD E27 G5 27""",214.56,2789.28,Settembre
France,2025-09-13 14:30:38,1000614,B6SL4EA,1,Desktops,Home,PC de Bureau Tout en Un IA Nouvelle Génération OmniStudio X 27-cs1007nf,1199.0,1199.0,Settembre
France,2025-09-13 18:04:04,1000679,C79N6ET,1,Laptops,Business,Station de travail mobile HP ZBook X G1i 16 pouces,2304.23,2304.23,Settembre
France,2025-09-13 18:50:29,1000622,A0ZF9EA,1,Desktops,Business,PC fixe IA HP EliteDesk 8 G1i faible encombrement HP Wolf Pro Security Edition,1661.59,1661.59,Settembre
France,2025-09-13 20:01:05,1000603,CM9P3EA,1,Desktops,Home,OMEN 35L Gaming Desktop GT17-0014nf,1499.0,1499.0,Settembre
France,2025-09-13 20:01:05,1000603,B6YX7ET,1,Desktops,Business,Ordinateur de bureau HP ProDesk 2 G1i E Format tour,817.2,817.2,Settembre
France,2025-09-13 22:45:56,1000689,6N4E8AA,1,Monitors,Business,Écran HP E22 G5,169.92,169.92,Settembre
France,2025-09-14 09:12:39,1000600,A10MWEA,1,Desktops,Business,HP ProDesk 4 Mini G1i Desktop AI PC,1161.08,1161.08,Settembre
France,2025-09-14 14:41:02,1000669,6K9L9EA,1,Laptops,Home,PC Portable HP Pavilion 15-eg2044nf,1299.0,1299.0,Settembre
France,2025-09-14 17:32:19,1000707,9D9L6UT,1,Monitors,Business,"Écran FHD 23,8 pouces HP Series 5 Pro - 524pf",187.2,187.2,Settembre
France,2025-09-14 23:11:10,1000731,B68T4EA,1,Laptops,Business,"PC Portable Professionnel IA Nouvelle Génération HP EliteBook Ultra G1i 14 """,1820.62,1820.62,Settembre
France,2025-09-15 10:05:16,1000579,C79Y8ET,1,Laptops,Business,Station de travail mobile HP ZBook Fury G1i 16 pouces,4200.01,4200.01,Settembre
France,2025-09-15 16:12:30,1000624,A23R0EA,1,Laptops,Business,"PC Portable Professionnel HP ProBook 4 G1iR 14""",960.96,960.96,Settembre
France,2025-09-15 16:16:29,1000623,C4DU9EA,1,Laptops,Home,HP OmniBook 5 Laptop Next Gen AI 16-bf0007nf,1199.0,1199.0,Settembre
France,2025-09-15 20:20:31,1000662,5M9Y3EA,2,Desktops,Business,HP Elite Mini 800 G9,1010.86,2021.72,Settembre
France,2025-09-16 00:18:53,1000683,94C17AA,1,Monitors,Home,"Écran Full HD 23,8 pouces HP Série 5 - 524sf",100.0,100.0,Settembre
France,2025-09-16 02:20:51,1000672,C79N5ET,1,Laptops,Business,Station de travail mobile HP ZBook X G1i 16 pouces,2502.71,2502.71,Settembre
France,2025-09-16 05:17:32,1000732,8Y2F7AA,1,Monitors,Business,"Écran HP Série 7 Pro - 724pu 24""",331.2,331.2,Settembre
France,2025-09-16 10:46:46,1000586,7B1G4EA,1,Desktops,Business,HP EliteOne 840 G9,1315.78,1315.78,Settembre
France,2025-09-16 17:23:02,1000681,BC5K6EA,2,Desktops,Home,Tour Gaming OMEN 35L GT16-0478nf - NVIDIA® GeForce RTX™ 5080,3299.0,6598.0,Settembre
France,2025-09-16 17:59:17,1000703,169L0AA,1,Monitors,Business,Écran de conférence FHD HP E24mv G4,375.6,375.6,Settembre
France,2025-09-16 22:59:19,1000633,B1NW7EA,1,Laptops,Home,PC Portable IA Nouvelle Génération 2 en 1 HP Omnibook Ultra Flip 14-fh0004nf - Extension de garantie 3 ans incluse,1899.0,1899.0,Settembre
France,2025-09-17 01:14:33,1000716,B6YW7ET,11,Desktops,Business,Ordinateur de bureau HP ProDesk 2 G1i E Faible encombrement,843.42,9277.619999999999,Settembre
France,2025-09-17 02:49:50,1000608,B6SL3EA,1,Desktops,Home,Tout en un IA Nouvelle Génération HP OmniStudio X 27-cs1003nf,1499.0,1499.0,Settembre
France,2025-09-17 05:26:05,1000741,A27BZEA,1,Laptops,Business,PC Portable IA Nouvelle Génération HP EliteBook 8 G1i,1783.32,1783.32,Settembre
France,2025-09-17 10:58:09,1000713,A27BWEA,1,Laptops,Business,PC portable IA nouvelle génération HP EliteBook 8 16 G1a pouces HP Wolf Pro Security Edition,1479.56,1479.56,Settembre
France,2025-09-17 10:58:09,1000713,A27CJEA,1,Laptops,Business,HP EliteBook 6 G1i 13 inch Notebook AI PC Wolf Pro Security Edition,1412.88,1412.88,Settembre
France,2025-09-17 11:15:24,1000677,A27BXEA,1,Laptops,Business,PC portable IA nouvelle génération HP EliteBook 8 16 G1a pouces HP Wolf Pro Security Edition,1654.28,1654.28,Settembre
France,2025-09-17 12:38:25,1000722,94C19E9,1,Monitors,Home,"Écran HP 524sh Series 5 - 23.8"" FHD",109.99,109.99,Settembre
France,2025-09-17 13:56:54,1000684,7Z9X6EA,2,Laptops,Home,PC Portable HP 15-fc0070nf,649.0,1298.0,Settembre
France,2025-09-17 15:47:57,1000691,B5KE9EA,1,Desktops,Home,PC Tout en un HP 24-cr0074nf,899.0,899.0,Settembre
France,2025-09-17 18:09:58,1000686,A27CJEA,1,Laptops,Business,HP EliteBook 6 G1i 13 inch Notebook AI PC Wolf Pro Security Edition,1412.88,1412.88,Settembre
France,2025-09-17 20:46:38,1000665,A1RZ4EA,1,Laptops,Home,PC Portable 2 en 1 HP Envy x360 14-fa0007nf - Ecran tactile OLED 120 Hz,999.0,999.0,Settembre
France,2025-09-18 01:32:26,1000697,8Y2F7AA,1,Monitors,Business,"Écran HP Série 7 Pro - 724pu 24""",331.2,331.2,Settembre
France,2025-09-18 03:53:46,1000647,A27CFEA,1,Laptops,Business,PC portable IA HP EliteBook 6 G1a 14 pouces HP Wolf Pro Security Edition,1169.62,1169.62,Settembre
France,2025-09-18 04:13:12,1000609,639T7EA,1,Desktops,Home,Victus by HP 15L TG02-0141nf - NVIDIA® GeForce RTX™ 3060,1499.0,1499.0,Settembre
France,2025-09-18 08:35:14,1000613,6N6E6AA,18,Monitors,Business,Écran tactile FHD E24t G5 HP,244.8,4406.400000000001,Settembre
France,2025-09-18 09:20:40,1000580,884F5EA,1,Desktops,Business,HP Pro Mini 260 G9,666.4,666.4,Settembre
France,2025-09-18 09:20:40,1000580,9S1N2EA,1,Desktops,Home,HP Tout-en-un 24-cr0061nf,999.0,999.0,Settembre
France,2025-09-18 16:54:41,1000595,B68T2EA,1,Laptops,Business,PC portable IA HP EliteBook Ultra 14 pouces G1q,1390.54,1390.54,Settembre
France,2025-09-19 08:12:56,1000630,A23R6EA,1,Laptops,Business,PC portable IA génération HP ProBook 4 G1q,833.28,833.28,Settembre
France,2025-09-19 08:12:56,1000630,B68SMEA,1,Laptops,Business,"PC Portable Professionnel IA HP EliteBook X G1i 14"" - Extension de garantie 3 ans incluse",2398.54,2398.54,Settembre
France,2025-09-19 08:12:56,1000630,A0ZF4EA,1,Desktops,Business,HP EliteStudio 8 All-in-One G1i 27 inch Desktop AI PC  Wolf Pro Security Edition,1653.11,1653.11,Settembre
France,2025-09-19 17:52:08,1000655,C58YPEA,1,Laptops,Home,HP OmniBook X Flip 2-in-1 Laptop Next Gen AI 16-ar0004nf,1599.0,1599.0,Settembre
France,2025-09-19 18:30:09,1000706,BC7P2EA,1,Laptops,Home,PC Portable Gaming OMEN MAX  16-ah0000nf - NVIDIA® GeForce RTX™ 5090,4399.0,4399.0,Settembre
France,2025-09-19 21:54:39,1000760,A27CGEA,1,Laptops,Business,HP EliteBook 6 G1i 14 inch Notebook AI PC Wolf Pro Security Edition,1411.54,1411.54,Settembre
France,2025-09-20 01:30:35,1000737,999Y0ET,1,Desktops,Business,Ordinateur de bureau HP Elite 800 G9 format tour,1526.78,1526.78,Settembre
France,2025-09-20 09:40:51,1000619,A27CKEA,1,Laptops,Business,HP EliteBook 6 G1i 13 inch Notebook AI PC Wolf Pro Security Edition,1248.91,1248.91,Settembre
France,2025-09-20 13:39:36,1000653,A27BZEA,1,Laptops,Business,PC Portable IA Nouvelle Génération HP EliteBook 8 G1i,1783.32,1783.32,Settembre
France,2025-09-20 18:53:29,1000715,BM1N2EA,2,Laptops,Home,PC Portable Gaming Victus 15-fa2015nf - NVIDIA GeForce RTX 5050  & sans OS,1099.0,2198.0,Settembre
France,2025-09-21 00:49:25,1000607,AV4C1AA,1,Monitors,Home,Écran gamer incurvé WQHD 180 Hz OMEN 34 pouces – OMEN 34c G2,319.99,319.99,Settembre
France,2025-09-21 00:52:15,1000709,BL1C3EA,3,Laptops,Home,PC Portable Gaming HP Victus 15-fa2013nf - NVIDIA GeForce RTX 5060  & Sans OS,1199.0,3597.0,Settembre
France,2025-09-21 05:21:34,1000602,C58YPEA,1,Laptops,Home,HP OmniBook X Flip 2-in-1 Laptop Next Gen AI 16-ar0004nf,1599.0,1599.0,Settembre
France,2025-09-21 05:21:34,1000602,C79Y3ET,1,Laptops,Business,Station de travail mobile HP ZBook Fury G1i 18 pouces,3250.14,3250.14,Settembre
France,2025-09-21 05:21:34,1000602,A23KGEA,1,Laptops,Business,"PC Portable Professionnel HP EliteBook 660 G11 16"" - Extension de garantie 3 ans incluse",1223.38,1223.38,Settembre
France,2025-09-21 05:21:34,1000602,7Z9X6EA,1,Laptops,Home,PC Portable HP 15-fc0070nf,649.0,649.0,Settembre
France,2025-09-21 07:33:21,1000759,A27C0EA,1,Laptops,Business,PC portable HP EliteBook 8 G1a 16 pouces HP Wolf Pro Security Edition,1295.45,1295.45,Settembre
France,2025-09-21 07:43:49,1000612,A23R0EA,1,Laptops,Business,"PC Portable Professionnel HP ProBook 4 G1iR 14""",960.96,960.96,Settembre
France,2025-09-21 13:37:15,1000661,A0ZF7EA,1,Desktops,Business,Tout en un IA HP EliteStudio 8 G1i,1868.16,1868.16,Settembre
France,2025-09-21 16:38:35,1000631,BL2F9EA,1,Laptops,Home,PC Portable IA HP OmniBook 3 15-fn0016nf,1099.0,1099.0,Settembre
France,2025-09-21 16:38:35,1000631,A40RHET,1,Desktops,Business,HP Z1 Tower G1i,1842.29,1842.29,Settembre
France,2025-09-22 01:45:38,1000632,C58YMEA,1,Laptops,Home,PC Portable IA HP OmniBook 5 16-af1001nf,899.0,899.0,Settembre
France,2025-09-22 11:00:22,1000640,7B1G4EA,1,Desktops,Business,HP EliteOne 840 G9,1315.78,1315.78,Settembre
France,2025-09-22 15:00:15,1000646,BP4R8EA,1,Laptops,Home,PC Portable Gaming OMEN 16-am0053nf - NVIDIA GeForce RTX 5060,1349.0,1349.0,Settembre
France,2025-09-23 02:40:45,1000650,B68T9EA,1,Laptops,Business,HP EliteBook X G1a 14 inch Notebook Next Gen AI PC Wolf Pro Security Edition,1820.62,1820.62,Settembre
France,2025-09-23 03:23:40,1000690,5E8U1EA,1,Desktops,Business,HP Z4 G5,2682.71,2682.71,Settembre
France,2025-09-23 06:39:44,1000754,C4DU9EA,1,Laptops,Home,HP OmniBook 5 Laptop Next Gen AI 16-bf0007nf,1199.0,1199.0,Settembre
France,2025-09-23 21:51:55,1000751,1B065AA,1,Monitors,Business,HP E14 G4,352.8,352.8,Settembre
France,2025-09-24 00:31:18,1000688,A27CDEA,1,Laptops,Business,PC portable IA nouvelle génération HP EliteBook 6 G1a 14 pouces HP Wolf Pro Security Edition,1357.78,1357.78,Settembre
France,2025-09-24 05:38:00,1000685,8T1M7EA,1,Desktops,Business,HP Z2 G9 SFF - NVIDIA® T400,1644.94,1644.94,Settembre
France,2025-09-24 06:04:51,1000693,C1ES7EA,1,Laptops,Home,PC Portable IA Nouvelle Génération HP OmniBook 5 14-he0013nf,899.0,899.0,Settembre
France,2025-09-24 06:58:48,1000721,BY0F3EA,1,Laptops,Home,PC Portable Gaming OMEN Transcend 14-fb1041nf - NVIDIA GeForce RTX™ 5060,2249.0,2249.0,Settembre
France,2025-09-24 15:29:20,1000601,C1EC2EA,2,Laptops,Home,PC Portable IA Nouvelle Génération HP OmniBook 5 16-bf0008nf,899.0,1798.0,Settembre
France,2025-09-24 18:25:32,1000729,B6SM1EA,2,Desktops,Home,PC de Bureau HP OmniDesk Slim S03-0008nf,649.0,1298.0,Settembre
France,2025-09-24 19:57:22,1000701,40Z32AA,1,Monitors,Business,Écran de conférence USB-C FHD HP E24m G4,316.8,316.8,Settembre
France,2025-09-25 04:00:09,1000643,BK7F2EA,1,Laptops,Home,PC Portable IA HP OmniBook 7 14-fr0000nf,1399.0,1399.0,Settembre
France,2025-09-25 15:36:01,1000698,A23KGEA,1,Laptops,Business,"PC Portable Professionnel HP EliteBook 660 G11 16"" - Extension de garantie 3 ans incluse",1223.38,1223.38,Settembre
France,2025-09-25 18:12:25,1000599,C7HA7EA,1,Laptops,Home,HP Laptop 17-cn4004nf,649.0,649.0,Settembre
France,2025-09-25 18:59:45,1000594,B28F5UT,1,Monitors,Business,Écran FHD HP Series 5 Pro 27 pouces – 527pf,230.4,230.4,Settembre
France,2025-09-26 06:58:46,1000641,C58YGEA,1,Laptops,Home,PC Portable HP 15-fc0162nf,529.0,529.0,Settembre
France,2025-09-26 07:22:27,1000739,A40RMET,1,Desktops,Business,HP Z2 Mini G1a,2257.62,2257.62,Settembre
France,2025-09-26 07:29:33,1000714,BL2F9EA,1,Laptops,Home,PC Portable IA HP OmniBook 3 15-fn0016nf,1099.0,1099.0,Settembre
France,2025-09-26 07:29:33,1000714,884F9EA,1,Desktops,Business,HP Pro 290 G9 SFF,780.86,780.86,Settembre
France,2025-09-26 07:29:33,1000714,780F9AA,1,Monitors,Home,Écran OMEN 27 - 27'' FHD - AMD FreeSync™ HDR,139.99,139.99,Settembre
France,2025-09-26 12:34:45,1000593,AV4K1AA,1,Monitors,Home,Écran gamer FHD 180 Hz OMEN 27 pouces - OMEN 27 G2,160.0,160.0,Settembre
France,2025-09-26 13:39:04,1000663,A0ZB2EA,2,Desktops,Business,HP Elite 800 G9  SFF,1435.39,2870.78,Settembre
France,2025-09-26 18:30:40,1000587,C1ES7EA,1,Laptops,Home,PC Portable IA Nouvelle Génération HP OmniBook 5 14-he0013nf,899.0,899.0,Settembre
France,2025-09-27 03:47:49,1000658,9S1N2EA,1,Desktops,Home,HP Tout-en-un 24-cr0061nf,999.0,999.0,Settembre
France,2025-09-27 10:16:56,1000598,B6SL8EA,1,Desktops,Home,PC de Bureau HP OmniDesk M02-0098nf,749.0,749.0,Settembre
France,2025-09-27 21:51:32,1000712,AL2H7EA,2,Desktops,Home,Ordinateur de bureau tout-en-un HP OmniStudio X 27-cs0002nf,1499.0,2998.0,Settembre
France,2025-09-27 22:00:00,1000621,8T0S7EA,1,Laptops,Business,"Station de travail portable HP ZBook Firefly G11 16"" - NVIDIA RTX™ A500 & Extension de garantie 3 ans incluse",2175.11,2175.11,Settembre
